paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_B1
1,241.523761394214,0,0,246.378819131307
2,796.729452106546,0,0,1270.37791703681
3,740.756627387742,0,0,1009.73452738393
4,958.98586659668,0,0,1474.42004257277
5,165.750205661138,0,0,111.776113050243
6,684.543292863308,0,0,1056.60601392844
7,877.912644621626,0,0,1196.26476436618
8,469.581300712392,0,0,274.40169276682
9,59.6848013040544,0,0,93.9948677948149
10,786.836422336956,0,0,1220.94259824912
11,237.36143965946,0,0,372.161227674444
12,194.965089750258,0,0,223.49103133349
13,559.665104424464,0,0,793.539044004274
14,713.904935043908,0,0,893.999584490787
15,227.694823108373,0,0,309.855537310645
16,268.474548714658,0,0,238.173017721014
17,756.310224453975,0,0,1228.43000693744
18,507.084954415682,0,0,772.024667162634
19,24.6431485708983,0,0,14.3127344837827
20,198.172946661326,0,0,320.060167990259
21,129.096067662581,0,0,128.24956848114
22,865.774102548169,0,0,865.273683645079
23,332.149414123542,0,0,176.404152810104
24,423.498979343122,0,0,455.915182996138
25,143.578661280571,0,0,69.9049969729353
26,444.998107053185,0,0,724.094962331709
27,116.394895339577,0,0,144.995982400281
28,780.881208942968,0,0,1055.27627054139
29,698.259068529149,0,0,1081.25195024721
30,668.406415655047,0,0,1096.17324667081
31,823.316161970474,0,0,1322.6343223802
32,303.00193956448,0,0,458.314989515784
33,926.811301323775,0,0,1374.41881858215
34,546.941798664672,0,0,451.726845504585
35,18.6819906746279,0,0,30.5397714425407
36,265.361964863196,0,0,310.116033462343
37,845.121698086722,0,0,769.184641974923
38,214.30803159151,0,0,346.259544205753
39,75.7821627950915,0,0,125.689442865883
40,313.063555707705,0,0,370.587030278756
41,768.080656816088,0,0,551.923138187487
42,447.484648381099,0,0,730.250971243413
43,728.266664302998,0,0,194.166129370049
44,961.967536300745,0,0,1559.31392004058
45,673.387189448101,0,0,866.060003318556
46,410.016758956966,0,0,566.803522597765
47,280.053637178741,0,0,425.143264238514
48,646.097905360973,0,0,759.754965127837
49,476.889898831135,0,0,749.878472611349
50,656.811492294238,0,0,978.848835735073
51,860.359746505929,0,0,1372.81211287728
52,256.950955559772,0,0,365.409473856799
53,380.823481625071,0,0,504.30461723607
54,488.650636906482,0,0,621.607732463727
55,619.396888575704,0,0,1024.20462893036
56,464.859217285326,0,0,172.925048707031
57,390.301643027666,0,0,543.065447869991
58,50.2067739007928,0,0,82.8445236699384
59,626.930379248478,0,0,989.886289015414
60,807.792954493855,0,0,705.341525841319
61,528.139164652427,0,0,830.030194139082
62,816.861373128622,0,0,798.587771220767
63,396.192461789775,0,0,582.685934609297
64,434.56287218441,0,0,474.630372066838
65,352.926162111487,0,0,574.771897813357
66,611.280265357008,0,0,133.627368460134
67,504.638916363178,0,0,198.087218885854
68,944.983703019826,0,0,1391.9801191264
69,905.413337779037,0,0,835.804951663484
70,833.087403814999,0,0,1327.30172689658
71,987.023024128847,0,0,705.84151324615
72,124.533815259715,0,0,157.170710675748
73,87.8569384136735,0,0,100.804363635893
74,600.228653265019,0,0,903.519505994257
75,937.212146603712,0,0,1305.67536820663
76,321.041529738972,0,0,505.031481181973
77,515.230640375392,0,0,695.831908937368
78,635.37646626682,0,0,831.5279576596
79,580.098671352339,0,0,935.286540392159
80,186.362818911543,0,0,209.225970380867
81,172.364350080305,0,0,240.518200776647
82,998.293577098787,0,0,1428.52293673467
83,709.534349629549,0,0,1168.40859537168
84,535.781390783642,0,0,791.534557652512
85,893.430629433752,0,0,1478.99653410602
86,883.392703074371,0,0,975.917350959437
87,593.43750306595,0,0,906.367489058051
88,91.6495311401354,0,0,149.649016564522
89,371.938456439843,0,0,613.943195923031
90,154.701547381689,0,0,186.351802983093
91,42.8153791074904,0,0,33.7647599893999
92,102.437333870952,0,0,107.36855596936
93,338.529754214436,0,0,525.696848914873
94,912.008409704956,0,0,1254.94256033636
95,37.4334519090032,0,0,57.9163120906592
96,287.729582080304,0,0,399.749796268236
97,974.32045748888,0,0,1204.2259112799
98,356.529166066109,0,0,435.238115225948
99,752.412000479721,0,0,1101.22327557784
100,568.699200690577,0,0,843.382348360698
