,KO_Gene,variable,Percent Upregulated,boot_upreg,SE,p-value
0,Aff3,Paralogs,0.0,0.0,0.0,1.0
1,Arid5b,Paralogs,0.0,0.0,0.0,1.0
2,Cdk8,Paralogs,0.05555555555555555,,,0.7
3,Csnk1a1,Paralogs,0.125,,,0.7
4,Dido1,Paralogs,0.0,0.0,0.0,1.0
5,Etv5,Paralogs,0.07692307692307693,,,0.6
6,Fbxw7,Paralogs,0.125,,,0.2
7,Hprt,Paralogs,0.0,,,1.0
8,Jarid2,Paralogs,0.0,0.0,0.0,1.0
9,Jmjd1c,Paralogs,0.3333333333333333,,,0.4
10,Kdm6a,Paralogs,0.0,,,1.0
11,L3mbtl3,Paralogs,0.25,,,0.0
12,Lmna,Paralogs,0.35714285714285715,,,0.0
13,Macf1,Paralogs,0.17647058823529413,,,0.0
14,Mbd3,Paralogs,0.5,,,0.0
15,Msi2,Paralogs,0.043478260869565216,,,0.9
16,Myc,Paralogs,0.6666666666666666,,,0.0
17,Myo10,Paralogs,0.15,,,0.0
18,Nes,Paralogs,0.15384615384615385,,,0.0
19,Nmnat2,Paralogs,0.0,,,1.0
20,Nmt1,Paralogs,0.0,,,1.0
21,Nsd1,Paralogs,0.11764705882352941,,,0.2
22,Pten,Paralogs,0.5,,,0.0
23,Pum1,Paralogs,0.0,,,1.0
24,Raf1,Paralogs,0.26666666666666666,,,0.0
25,Smg7,Paralogs,1.0,,,0.0
26,Sulf1,Paralogs,0.0,,,1.0
27,Tcf7l1,Paralogs,0.5,,,0.0
28,Tet1,Paralogs,0.0,,,1.0
29,Trim71,Paralogs,0.2413793103448276,,,0.0
30,Tsc2,Paralogs,0.0,,,1.0
31,Usp7,Paralogs,0.027777777777777776,,,0.8
32,Usp9x,Paralogs,0.027777777777777776,,,0.8
33,Zfp281,Paralogs,0.34782608695652173,,,0.0
34,Zfp423,Paralogs,0.0,,,1.0
35,Zfp532,Paralogs,0.0,,,1.0
36,Aff3,Bootstrapped Genes,0.0,0.0,0.0,1.0
37,Arid5b,Bootstrapped Genes,0.0,0.0,0.0,1.0
38,Cdk8,Bootstrapped Genes,0.10833333333333335,0.10833333333333335,0.023405971592156554,0.7
39,Csnk1a1,Bootstrapped Genes,0.20909090909090908,0.20909090909090908,0.03333333333333333,0.7
40,Dido1,Bootstrapped Genes,0.0,0.0,0.0,1.0
41,Etv5,Bootstrapped Genes,0.11000000000000001,0.11000000000000001,0.025603819159562027,0.6
42,Fbxw7,Bootstrapped Genes,0.06923076923076923,0.06923076923076923,0.01794871794871795,0.2
43,Hprt,Bootstrapped Genes,0.08,0.08,0.03265986323710904,1.0
44,Jarid2,Bootstrapped Genes,0.0,0.0,0.0,1.0
45,Jmjd1c,Bootstrapped Genes,0.13333333333333333,0.13333333333333333,0.05443310539518173,0.4
46,Kdm6a,Bootstrapped Genes,0.2,0.2,0.08164965809277261,1.0
47,L3mbtl3,Bootstrapped Genes,0.12307692307692308,0.12307692307692308,0.026148818018424533,0.0
48,Lmna,Bootstrapped Genes,0.1,0.1,0.01416394309331329,0.0
49,Macf1,Bootstrapped Genes,0.078125,0.078125,0.015625,0.0
50,Mbd3,Bootstrapped Genes,0.0,0.0,0.0,0.0
51,Msi2,Bootstrapped Genes,0.14799999999999996,0.14799999999999996,0.023132468763863295,0.9
52,Myc,Bootstrapped Genes,0.1,0.1,0.05091750772173155,0.0
53,Myo10,Bootstrapped Genes,0.058823529411764705,0.058823529411764705,0.013864838846795048,0.0
54,Nes,Bootstrapped Genes,0.008333333333333333,0.008333333333333333,0.005555555555555554,0.0
55,Nmnat2,Bootstrapped Genes,0.05,0.05,0.049999999999999996,1.0
56,Nmt1,Bootstrapped Genes,0.1,0.1,0.09999999999999999,1.0
57,Nsd1,Bootstrapped Genes,0.07777777777777778,0.07777777777777778,0.01888525745775105,0.2
58,Pten,Bootstrapped Genes,0.1,0.1,0.0408248290463863,0.0
59,Pum1,Bootstrapped Genes,0.1,0.1,0.09999999999999999,1.0
60,Raf1,Bootstrapped Genes,0.11578947368421053,0.11578947368421053,0.020459480332790526,0.0
61,Smg7,Bootstrapped Genes,0.0,0.0,0.0,0.0
62,Sulf1,Bootstrapped Genes,0.11111111111111112,0.11111111111111112,0.04057204129667896,1.0
63,Tcf7l1,Bootstrapped Genes,0.0,0.0,0.0,0.0
64,Tet1,Bootstrapped Genes,0.05,0.05,0.049999999999999996,1.0
65,Trim71,Bootstrapped Genes,0.12156862745098043,0.12156862745098043,0.013956965035335047,0.0
66,Tsc2,Bootstrapped Genes,0.05,0.05,0.049999999999999996,1.0
67,Usp7,Bootstrapped Genes,0.052083333333333336,0.052083333333333336,0.00944546563106628,0.8
68,Usp9x,Bootstrapped Genes,0.07916666666666666,0.07916666666666666,0.01272937693043289,0.8
69,Zfp281,Bootstrapped Genes,0.13823529411764704,0.13823529411764704,0.021049912307435182,0.0
70,Zfp423,Bootstrapped Genes,0.11666666666666665,0.11666666666666665,0.043390275977259196,1.0
71,Zfp532,Bootstrapped Genes,0.1,0.1,0.09999999999999999,1.0
