,Gene,Paralog,Perc_ID
0,CLK1,HIPK3,10.2058
1,CLK1,DYRK4,18.4543
2,CLK1,DYRK1B,17.965
3,CLK1,HIPK1,10.3306
4,CLK1,CLK3,49.5918
5,CLK1,HIPK4,15.7468
6,CLK1,DYRK3,21.0884
7,CLK1,HIPK2,11.0184
8,CLK1,CLK4,79.21
9,CLK1,DYRK2,21.4642
10,CLK1,DYRK1A,15.252
11,CLK1,CLK2,52.3046
12,EP300,CREBBP,58.3129
13,MAPKAPK2,MAPKAPK3,67.801
14,MAPKAPK2,MAPKAPK5,33.121
15,MAPKAPK2,MKNK1,29.1262
16,MAPKAPK2,MKNK2,26.0215
17,MAPKAPK2,CAMK4,26.0042
18,MAPKAPK2,DCX,16.1202
19,NFATC2,NFATC3,31.0698
20,NFATC2,NFATC4,32.5942
21,NFATC2,NFAT5,14.3318
22,NFATC2,NFATC1,39.5546
23,SRC,FGR,66.1626
24,SRC,FRK,47.9208
25,SRC,JAK3,13.968
26,SRC,BMX,24.5926
27,SRC,FER,21.7762
28,SRC,BTK,27.7693
29,SRC,FES,21.6545
30,SRC,BLK,56.0396
31,SRC,JAK1,14.2114
32,SRC,PTK2B,14.5689
33,SRC,SYK,26.2992
34,SRC,TYK2,13.7321
35,SRC,LYN,54.1016
36,SRC,ZAP70,26.6559
37,SRC,TXK,34.7249
38,SRC,TNK2,11.9431
39,SRC,PTK2,14.4161
40,SRC,SRMS,39.5492
41,SRC,TEC,29.6355
42,SRC,CSK,39.7778
43,SRC,STYK1,24.6446
44,SRC,YES1,74.0331
45,SRC,LCK,54.4204
46,SRC,JAK2,13.5159
47,SRC,ITK,28.3871
48,SRC,MATK,32.5444
49,SRC,TNK1,15.885
50,SRC,HCK,54.943
51,SRC,ABL1,18.9381
52,SRC,ABL2,18.3587
53,SRC,FYN,69.46
54,SRC,PTK6,45.2328
55,DEAF1,None,90.0621
56,MAPK1,MAPK8,32.3185
57,MAPK1,MAPK10,30.819
58,MAPK1,MAPK6,20.9431
59,MAPK1,MAPK12,37.6022
60,MAPK1,MAPK13,39.1781
61,MAPK1,SRPK1,13.5878
62,MAPK1,SRPK3,14.6384
63,MAPK1,MAPK4,24.1908
64,MAPK1,NLK,27.704
65,MAPK1,MAPK14,42.7778
66,MAPK1,MAPK3,81.0026
67,MAPK1,MOK,23.6277
68,MAPK1,MAPK11,40.6593
69,MAPK1,MAK,17.5926
70,MAPK1,MAPK15,26.6544
